iter	Passed	Remaining
0	1	305
1	3	312
2	5	335
3	10	509
4	14	551
5	18	582
6	21	596
7	25	611
8	28	611
9	30	583
10	32	556
11	34	537
12	38	546
13	39	530
14	41	516
15	43	502
16	45	488
17	46	474
18	48	460
19	49	447
20	51	435
21	52	423
22	53	413
23	54	403
24	56	396
25	58	388
26	59	381
27	61	375
28	62	368
29	64	364
30	65	359
31	67	354
32	68	348
33	70	343
34	71	338
35	73	334
36	75	330
37	76	326
38	78	323
39	79	319
40	81	315
41	82	311
42	84	308
43	86	306
44	88	303
45	89	300
46	91	297
47	93	294
48	94	291
49	95	287
50	97	283
51	98	280
52	99	276
53	101	273
54	102	270
55	103	267
56	105	263
57	106	260
58	108	258
59	109	255
60	110	252
61	111	249
62	113	246
63	114	243
64	115	240
65	117	238
66	118	235
67	119	232
68	121	229
69	122	227
70	123	224
71	125	222
72	126	219
73	127	217
74	128	214
75	130	212
76	131	210
77	132	207
78	134	205
79	135	203
80	136	201
81	138	198
82	139	196
83	140	194
84	142	192
85	143	190
86	144	188
87	146	185
88	147	183
89	148	181
90	150	179
91	151	177
92	152	175
93	153	173
94	155	171
95	156	169
96	158	167
97	159	166
98	161	164
99	162	162
100	164	160
101	165	158
102	167	157
103	168	155
104	170	154
105	172	152
106	173	150
107	175	149
108	176	147
109	178	145
110	179	144
111	181	142
112	182	140
113	184	138
114	185	137
115	187	135
116	189	134
117	190	132
118	192	130
119	193	129
120	195	127
121	196	125
122	198	124
123	199	122
124	201	120
125	202	119
126	204	117
127	205	115
128	206	113
129	208	112
130	209	110
131	211	108
132	212	107
133	214	105
134	216	104
135	217	102
136	218	100
137	220	98
138	221	97
139	223	95
140	224	93
141	226	92
142	228	91
143	230	89
144	231	87
145	233	86
146	234	84
147	236	82
148	237	81
149	238	79
150	241	78
151	242	76
152	243	74
153	245	73
154	246	71
155	248	70
156	249	68
157	251	66
158	253	65
159	255	63
160	257	62
161	258	60
162	260	59
163	261	57
164	263	55
165	265	54
166	266	52
167	268	51
168	270	49
169	271	47
170	273	46
171	274	44
172	276	43
173	277	41
174	279	39
175	281	38
176	282	36
177	284	35
178	286	33
179	287	31
180	289	30
181	290	28
182	292	27
183	294	25
184	295	23
185	297	22
186	299	20
187	300	19
188	302	17
189	303	15
190	305	14
191	306	12
192	308	11
193	310	9
194	311	7
195	313	6
196	315	4
197	316	3
198	318	1
199	320	0
